N_d,V_dis_total,Sep. Eff.,status
30,0.006607650046760015,1.0,success
50,0.0066049263576003015,1.0,success
80,0.006606173248473864,1.0,success
100,0.0066049263576003015,1.0,success
150,0.006607650046760015,1.0,success
200,0.006607168797141424,1.0,success
300,0.006607650046760013,1.0,success
400,0.006607813182433296,1.0,success
