exp,phi_0,dV_ges,eps_0,h_dp_max,h_w_0,V_dp,Sep. Eff.,status
5mmol_30C,0.000750961,1745.095888,0.499998599,0.024870665,0.090949002,0.021980398190976982,1.0,success
5mmol_30C,0.000763323,1753.050784,0.500061987,0.025023548,0.091166435,0.021807103292656674,1.0,success
5mmol_30C,0.000723707,1752.592616,0.500020691,0.0243341,0.090262733,0.022837575080184774,1.0,success
5mmol_30C,0.000701074,1997.359584,0.499814357,0.025514657,0.089684443,0.022882300775353758,1.0,success
5mmol_30C,0.000712062,2001.847182,0.500082703,0.025693544,0.089956089,0.02281775199868596,1.0,success
5mmol_30C,0.000699313,2002.089285,0.499927696,0.025077159,0.089725541,0.02286114750607496,1.0,success
5mmol_30C,0.00077305,1755.043053,0.500060052,0.026129478,0.091026439,0.021620081596606028,1.0,success
5mmol_30C,0.00077201,1755.380838,0.5000675,0.025281591,0.090902576,0.021763914217836303,1.0,success
5mmol_30C,0.000728669,1748.347032,0.500005921,0.024421463,0.090799087,0.022588225827916326,1.0,success
5mmol_30C,0.00077559,1481.64826,0.499812721,0.024078116,0.09186815,0.0182560711460781,1.0,success
5mmol_30C,0.000763925,1499.694809,0.500032728,0.024252689,0.091987244,0.018564682354478557,1.0,success
5mmol_30C,0.000726548,1455.630583,0.496921484,0.023973169,0.091711664,0.018630101870666636,1.0,success
5mmol_30C,0.000722229,999.6381778,0.499880084,0.017030178,0.094883206,0.0131632982683131,1.0,success
5mmol_30C,0.000712445,999.6446793,0.499913583,0.01855081,0.09488439,0.013052200503346031,1.0,success
5mmol_30C,0.000712451,1001.908437,0.500022896,0.023203321,0.094996779,0.012598315159331049,1.0,success
5mmol_30C,0.000734213,999.528145,0.499657125,0.022879034,0.094441699,0.01246471875632689,1.0,success
5mmol_30C,0.000745642,998.9341649,0.499917071,0.021350563,0.094204745,0.012499599283694035,1.0,success
5mmol_30C,0.000753615,1000.183129,0.500015227,0.019893559,0.095239508,0.012455559028180869,1.0,success
5mmol_30C,0.000665051,993.5760686,0.399215879,0.01955034,0.095698076,0.01055420768650284,1.0,success
5mmol_30C,0.000633721,996.2387882,0.399066862,0.019562686,0.096278714,0.01080094195144753,1.0,success
5mmol_30C,0.000618759,996.5608034,0.399898313,0.021604255,0.095364195,0.010920913579113335,1.0,success
5mmol_30C,0.000620129,991.6847319,0.399288212,0.022378535,0.095441265,0.010803537262599168,1.0,success
5mmol_30C,0.000651134,994.0573675,0.399507565,0.023494684,0.0954458,0.010479136340322942,1.0,success
5mmol_30C,0.000666888,981.9675893,0.398774242,0.021653975,0.095102975,0.010304399382649466,1.0,success
5mmol_30C,0.000578923,998.3289379,0.299638591,0.016896813,0.097863837,0.008601080516074748,1.0,success
5mmol_30C,0.000568444,1000.032227,0.299961589,0.019367125,0.097314092,0.008553234223175698,1.0,success
5mmol_30C,0.000551839,1017.00453,0.304068314,0.019188991,0.097307075,0.008976421502346408,1.0,success
5mmol_30C,0.000527851,1005.880826,0.300892819,0.01819381,0.097334873,0.009079334893637225,1.0,success
5mmol_30C,0.000545092,988.7087167,0.297422013,0.020483014,0.095757469,0.00871825750935443,1.0,success
5mmol_30C,0.00055842,995.9549927,0.299342948,0.020471766,0.095767784,0.008717062670337778,1.0,success
5mmol_30C,0.000816628,1492.737848,0.500258137,0.026577285,0.092475198,0.017455893785212794,1.0,success
5mmol_30C,0.000824805,1503.418987,0.500185869,0.026404024,0.092061076,0.01753863148283701,1.0,success
5mmol_30C,0.00076001,1496.994971,0.500046369,0.024838368,0.092153499,0.018531806285375277,1.0,success
