exp,phi_0,dV_ges,eps_0,h_dp_0,h_w_0,V_dp,Sep. Eff.,L_dp,dpz_flooded,status,h_dpz_0,h_dpz_1,h_dpz_2
2mmol_21C,0.0005610608327805,1500.6859313106795,0.2999640024223567,0.021848,0.1185301447368421,0.015615611154347371,1.0,1.3,True,success,0.026418286777627656,0.026418286777627656,0.0
10mmol_21C,0.0004694787804868,1250.1973383495144,0.3999479347612041,0.0282045338535183,0.0917653811970368,0.02251516340901211,1.0,1.3,True,success,0.038822383434036795,0.038822383434036795,0.0
15mmol_30C,0.0004270913623207,751.7522530744338,0.3005957847773192,0.0188758322981366,0.1027729614561364,0.008865534554002186,1.0,0.585,False,success,0.01851781593422515,0.01851781593422515,0.0
15mmol_30C,0.0003097268232073,757.4745813915857,0.3999771990613118,0.0243060245614035,0.1000643991269841,0.013772649617569684,1.0,0.8775,False,success,0.024220320858909877,0.024220320858909877,0.0
5mmol_30C,0.0005684442129561,1000.0322270226536,0.2999615892962858,0.0194626022035726,0.0973140920591429,0.003484922446996214,1.0,0.2145,False,success,0.019170641862306756,0.019170641862306756,0.0
15mmol_30C,0.0005252629562474,748.3448713592235,0.4994546043042226,0.0464775185344978,0.0936272636477901,0.013466248234746174,1.0,0.7929999999999999,False,success,0.04616641544734201,0.04616641544734201,0.0
15mmol_20C,0.0003341345369813,368.572605987055,0.5869402383408588,0.0250762722660276,0.1024272527984589,0.011181067387169348,1.0,0.7345,False,success,0.02500022317140363,0.02500022317140363,0.0
10mmol_30C,0.0005812634337109,998.7623250809062,0.499775008345779,0.0410365143990929,0.1062823566269841,0.018693798365509513,1.0,1.2934999999999999,False,success,0.04092240074979556,0.04092240074979556,0.0
15mmol_30C,0.0005510054903995,1006.7661578478966,0.4012057525033918,0.0377120637838137,0.104700250545658,0.012959005270523499,1.0,0.8775,False,success,0.03728936906016127,0.03728936906016127,0.0
2mmol_30C,0.0005836467279991,997.8167071197412,0.2993004752790806,0.0217729280822461,0.0966703513218062,0.003938805715127016,1.0,0.24050000000000002,False,success,0.020988474379063773,0.020988474379063773,0.0
10mmol_21C,0.0003049797877975,998.632776537217,0.3998395136156908,0.0349507763888888,0.1096418063465007,0.017962738739149508,1.0,1.3,True,success,0.051921276748767994,0.051921276748767994,0.0
ye,0.000464,200.0,0.2,0.04,0.1,0.001584831412594378,1.0,0.13440000000000002,False,success,0.03938477370109653,0.03938477370109653,0.0
5mmol_30C,0.0006157588009069,1999.9767121359223,0.4000157932192502,0.0325790625,0.0930523826118326,0.008894181947725977,1.0,0.52,False,success,0.03129520510685703,0.03129520510685703,0.0
15mmol_20C,0.0005593307682098,1247.756612944984,0.4997730873636098,0.0319875208333333,0.0962502860107485,0.02140126772633786,1.0,1.3,True,success,0.06223423753110832,0.06223423753110832,0.0
15mmol_20C,0.0003401193593309,1003.9034503236248,0.4000966956206965,0.0292137352622967,0.1091382728754501,0.018046009133726275,1.0,1.3,True,success,0.03556380514178867,0.03556380514178867,0.0
10mmol_30C,0.000327323098417,1000.691120711974,0.4999205277452283,0.0201710814285714,0.1278209700330688,0.013378837744594616,1.0,1.3,True,success,0.07156925862160152,0.07156925862160152,0.0
2mmol_30C,0.0006982405401018,2002.427888996764,0.5001117652735263,0.028438299574173,0.0896256687975899,0.012492640421894404,1.0,0.7020000000000001,False,success,0.02720254026612938,0.02720254026612938,0.0
ye,0.000334199,280.0,0.15,0.04,0.1,0.0018821711417949642,1.0,0.15960000000000002,False,success,0.039447378719696106,0.039447378719696106,0.0
10mmol_21C,0.0005706342000112,1013.3289938511329,0.5004104597675806,0.0324451484260839,0.1002474349072494,0.020348593429385758,1.0,1.3,True,success,0.03569575727126145,0.03569575727126145,0.0
15mmol_30C,0.0003148752893119,750.4453315533981,0.5000305646279545,0.0248891844237171,0.1097274088385206,0.015300415395242819,1.0,1.1115000000000002,False,success,0.02488826902340914,0.02488826902340914,0.0
5mmol_30C,0.000773049790394,1755.0430533980582,0.500060052266506,0.0268797424836935,0.0910264387762927,0.008879667226516513,1.0,0.507,False,success,0.025822919240879066,0.025822919240879066,0.0
