exp,phi_0,dV_ges,eps_0,h_dp_max,h_w_0,V_dp,Sep. Eff.,L_dp,status,h_dpz_0,h_dpz_1,h_dpz_2
5mmol_30C,0.000614664,1502.497268,0.40017337,0.020735538,0.094777095,0.006975119364165435,1.0,0.41600000000000004,success,0.019492962440817663,0.019492962440817663,0.0
5mmol_30C,0.000661629,1504.546408,0.400747698,0.022464746,0.094852504,0.0065275643980399235,1.0,0.39,success,0.02243188751706529,0.02243188751706529,0.0
5mmol_30C,0.000723707,1752.592616,0.500020691,0.0243341,0.090262733,0.009414584787403044,1.0,0.533,success,0.02362927943078731,0.02362927943078731,0.0
2mmol_21C,0.000801282,1995.993525,0.499700035,0.023888031,0.101849986,0.020007354297563108,1.0,1.3,success,0.09741147953997945,0.09741147953997945,0.0
5mmol_30C,0.000681172,1999.619482,0.499988817,0.026883538,0.088787929,0.011082219913146845,1.0,0.6175,success,0.02679932477395039,0.02679932477395039,0.0
5mmol_30C,0.000615759,1999.976712,0.400015793,0.023810701,0.093052383,0.009230102539540248,1.0,0.5395,success,0.022886023864718302,0.022886023864718302,0.0
5mmol_30C,0.000572842,2000.406159,0.400022675,0.025438158,0.089342075,0.009859212109443032,1.0,0.5525,success,0.02468582570278542,0.02468582570278542,0.0
2mmol_30C,0.000734309,2000.66034,0.500126848,0.026662858,0.089674559,0.012131526778494868,1.0,0.6825,success,0.02628679293192658,0.02628679293192658,0.0
ye,0.00026,160.0,0.2,0.0,0.0,0.0015524484736306932,1.0,0.13160000000000002,success,0.03967368701271816,0.03967368701271816,0.0
ye,0.000281,160.0,0.2,0.0,0.0,0.0015191689465447896,1.0,0.1288,success,0.03954734902950111,0.03954734902950111,0.0
ye,0.000307,160.0,0.2,0.0,0.0,0.001453638619998385,1.0,0.1232,success,0.039870409316263296,0.039870409316263296,0.0
ye,0.00037,160.0,0.2,0.0,0.0,0.0013545771006937533,1.0,0.1148,success,0.03992599874727676,0.03992599874727676,0.0
ye,0.000431,160.0,0.2,0.0,0.0,0.0012882669860442954,1.0,0.10920000000000002,success,0.03971684764842102,0.03971684764842102,0.0
ye,0.000532,160.0,0.2,0.0,0.0,0.0011889717965974072,1.0,0.10080000000000001,success,0.039580998081591184,0.039580998081591184,0.0
ye,0.000689,160.0,0.2,0.0,0.0,0.001056997595417295,1.0,0.08960000000000001,success,0.03968095809071786,0.03968095809071786,0.0
ye,0.001281,160.0,0.2,0.0,0.0,0.0007598931522360404,1.0,0.0644,success,0.039945662289245926,0.039945662289245926,0.0
ye,0.000252,200.0,0.2,0.0,0.0,0.001949252716876319,1.0,0.16520000000000004,success,0.03991213070143298,0.03991213070143298,0.0
ye,0.000283,200.0,0.2,0.0,0.0,0.0018829314348423555,1.0,0.15960000000000002,success,0.039757494482320785,0.039757494482320785,0.0
ye,0.000325,200.0,0.2,0.0,0.0,0.0017840640891900997,1.0,0.1512,success,0.03991392014694306,0.03991392014694306,0.0
ye,0.000383,200.0,0.2,0.0,0.0,0.001684814597360174,1.0,0.1428,success,0.03980992601176433,0.03980992601176433,0.0
ye,0.000464,200.0,0.2,0.0,0.0,0.001584831412594378,1.0,0.13440000000000002,success,0.03938477370109653,0.03938477370109653,0.0
ye,0.000584,200.0,0.2,0.0,0.0,0.0014205427231517842,1.0,0.12040000000000001,success,0.03981911744279578,0.03981911744279578,0.0
ye,0.000788,200.0,0.2,0.0,0.0,0.001254785814025458,1.0,0.10640000000000001,success,0.03944712572136273,0.03944712572136273,0.0
ye,0.001095,200.0,0.2,0.0,0.0,0.0010568893316390614,1.0,0.08960000000000001,success,0.03959666499185027,0.03959666499185027,0.0
ye,0.0015,200.0,0.2,0.0,0.0,0.0008913459760203615,1.0,0.0756,success,0.03929806560887677,0.03929806560887677,0.0
ye,0.000271,240.0,0.2,0.0,0.0,0.002311664260599938,1.0,0.196,success,0.039513448567259225,0.039513448567259225,0.0
ye,0.000298,240.0,0.2,0.0,0.0,0.0022135604721176577,1.0,0.18760000000000002,success,0.039913828604314625,0.039913828604314625,0.0
ye,0.000343,240.0,0.2,0.0,0.0,0.0021141536254857575,1.0,0.17920000000000003,success,0.039750538463522424,0.039750538463522424,0.0
ye,0.000404,240.0,0.2,0.0,0.0,0.0019822385808406407,1.0,0.168,success,0.03987315089203278,0.03987315089203278,0.0
ye,0.000503,240.0,0.2,0.0,0.0,0.0018170629803984364,1.0,0.15400000000000003,success,0.039880965345337825,0.039880965345337825,0.0
ye,0.00061,240.0,0.2,0.0,0.0,0.0016845555034655235,1.0,0.1428,success,0.03966400410967505,0.03966400410967505,0.0
ye,0.000804,240.0,0.2,0.0,0.0,0.0014863061777657075,1.0,0.126,success,0.03962672835305058,0.03962672835305058,0.0
ye,0.001092,240.0,0.2,0.0,0.0,0.0012872716519401052,1.0,0.10920000000000002,success,0.03920013225453042,0.03920013225453042,0.0
ye,0.001416,240.0,0.2,0.0,0.0,0.0010902818256991516,1.0,0.0924,success,0.03994560526095921,0.03994560526095921,0.0
ye,0.000254,280.0,0.2,0.0,0.0,0.0027418255165288603,1.0,0.23240000000000002,success,0.039763025098212494,0.039763025098212494,0.0
