exp,phi_0,dV_ges,eps_0,V_dp,Sep. Eff.,L_dp,status,h_dpz_0,h_dpz_1,h_dpz_2
ye,0.00018,160,0.2,0.0017505848771913882,1.0,0.1484,success,0.039651285578408274,0.039651285578408274,0.0
ye,0.0002,160,0.2,0.0016847723240602853,1.0,0.1428,success,0.039783852456557335,0.039783852456557335,0.0
ye,0.00025,160,0.2,0.001552850719333319,1.0,0.13160000000000002,success,0.039994553104643914,0.039994553104643914,0.0
ye,0.0003,160,0.2,0.001486094890812931,1.0,0.126,success,0.03952412211243955,0.03952412211243955,0.0
ye,0.00035,160,0.2,0.0013875365236608124,1.0,0.11760000000000001,success,0.039844965209693085,0.039844965209693085,0.0
ye,0.00018,200,0.2,0.0021803128904547154,1.0,0.1848,success,0.039793592688715955,0.039793592688715955,0.0
ye,0.0002,200,0.2,0.002114103519821589,1.0,0.17920000000000003,success,0.039728925451606875,0.039728925451606875,0.0
ye,0.00025,200,0.2,0.0019493227173463927,1.0,0.16520000000000004,success,0.039993046559471425,0.039993046559471425,0.0
ye,0.0003,200,0.2,0.001849730649714966,1.0,0.15680000000000002,success,0.039675984255240625,0.039675984255240625,0.0
ye,0.00035,200,0.2,0.0017506108714830891,1.0,0.1484,success,0.03966275031415542,0.03966275031415542,0.0
ye,0.00018,200,0.1,0.0010900084089874207,1.0,0.0924,success,0.03966682023094109,0.03966682023094109,0.0
ye,0.00018,240,0.2,0.0026100520716249914,1.0,0.2212,success,0.03993626237320084,0.03993626237320084,0.0
ye,0.0002,240,0.2,0.0025433688319324316,1.0,0.2156,success,0.03967358718771549,0.03967358718771549,0.0
ye,0.00025,240,0.2,0.0023457943782745627,1.0,0.19880000000000003,success,0.03999144705722428,0.03999144705722428,0.0
ye,0.0003,240,0.2,0.0022134186771408737,1.0,0.18760000000000002,success,0.0398282996607147,0.0398282996607147,0.0
ye,0.00035,240,0.2,0.0021134209150355824,1.0,0.17920000000000003,success,0.039480428503631204,0.039480428503631204,0.0
ye,0.00018,240,0.05,0.0006277465558808167,1.0,0.053200000000000004,success,0.03998288526522624,0.03998288526522624,0.0
ye,0.0002,240,0.05,0.0006275917049478995,1.0,0.053200000000000004,success,0.039681172185660384,0.039681172185660384,0.0
ye,0.00025,240,0.05,0.0005616696572295497,1.0,0.0476,success,0.03999774026976343,0.03999774026976343,0.0
ye,0.0003,240,0.05,0.0005286238381993811,1.0,0.044800000000000006,success,0.03995728012944849,0.03995728012944849,0.0
ye,0.00035,240,0.05,0.0005283255409303676,1.0,0.044800000000000006,success,0.03944222264326365,0.03944222264326365,0.0
ye,0.00018,240,0.1,0.001288525735845565,1.0,0.10920000000000002,success,0.03996748268651494,0.03996748268651494,0.0
ye,0.00018,280,0.2,0.0030716356309419537,1.0,0.2604,success,0.03961538005840812,0.03961538005840812,0.0
ye,0.0002,280,0.2,0.0029725611848429112,1.0,0.252,success,0.03961789140984367,0.03961789140984367,0.0
ye,0.00025,280,0.2,0.002742265607457668,1.0,0.23240000000000002,success,0.039989713302720206,0.039989713302720206,0.0
ye,0.0003,280,0.2,0.0025770631618780063,1.0,0.21840000000000004,success,0.03998110040115685,0.03998110040115685,0.0
ye,0.00035,280,0.2,0.0024447571286154526,1.0,0.20720000000000002,success,0.039871523350420525,0.039871523350420525,0.0
ye,0.00018,280,0.05,0.0007597087172577786,1.0,0.0644,success,0.039672926067479346,0.039672926067479346,0.0
ye,0.0002,280,0.05,0.0007267663013288884,1.0,0.0616,success,0.03978545892163471,0.03978545892163471,0.0
ye,0.00025,280,0.05,0.0006607877924224252,1.0,0.05600000000000001,success,0.03999719341587428,0.03999719341587428,0.0
ye,0.0003,280,0.05,0.0006277027367219877,1.0,0.053200000000000004,success,0.03985980673468257,0.03985980673468257,0.0
ye,0.00035,280,0.05,0.0005946487521788713,1.0,0.05040000000000001,success,0.03982508063281123,0.03982508063281123,0.0
ye,0.00018,280,0.1,0.0015196326306800554,1.0,0.1288,success,0.03980749344490077,0.03980749344490077,0.0
