exp,phi_0,dV_ges,eps_0,h_dp_0,h_w_0,V_dp,Sep. Eff.,L_dp,status,h_dpz_0,h_dpz_1,h_dpz_2
10mmol_21C,0.000204621,743.101701,0.297018934,0.0355819,0.096633422,0.015119878064773417,1.0,0.9229999999999999,success,0.03528496127224917,0.03528496127224917,0.0
10mmol_21C,0.000657257,748.3678846,0.503339395,0.022846333,0.092660582,0.015964350469823817,1.0,0.9295,success,0.02273703635124745,0.02273703635124745,0.0
10mmol_21C,0.00031128,749.9297278,0.49988101,0.033657,0.107723963,0.018420020956302192,1.0,1.3,success,0.03967402779747839,0.03967402779747839,0.0
10mmol_21C,0.000449277,749.974026,0.399764919,0.032074,0.095001254,0.014660785692575605,1.0,0.8775,success,0.03198442498703334,0.03198442498703334,0.0
10mmol_30C,0.000549679,750.0255688,0.50015755,0.038374125,0.101830843,0.014958265065031978,1.0,0.975,success,0.03833771998956552,0.03833771998956552,0.0
10mmol_21C,0.000338769,750.0573319,0.499894576,0.032000429,0.108397884,0.018239775126578848,1.0,1.3,success,0.034394703556105896,0.034394703556105896,0.0
10mmol_21C,0.000241941,750.207822,0.400023387,0.029817667,0.106790285,0.017536928812537038,1.0,1.222,success,0.029718225073408197,0.029718225073408197,0.0
10mmol_21C,0.000492745,750.2517853,0.299888778,0.029670385,0.100196136,0.010083139938076103,1.0,0.6435000000000001,success,0.029323538656590986,0.029323538656590986,0.0
15mmol_20C,0.000611831,750.71744,0.50033281,0.029766385,0.098495864,0.014672325359424716,1.0,0.9165000000000001,success,0.02965567447327551,0.02965567447327551,0.0
15mmol_30C,0.00039098,750.8672362,0.3009275,0.034920188,0.100884113,0.008984884180337426,1.0,0.5785,success,0.03435110057507951,0.03435110057507951,0.0
10mmol_30C,0.00022167,751.4893686,0.400032531,0.019631529,0.110415327,0.01745202009722094,1.0,1.2805000000000002,success,0.019501969268463176,0.019501969268463176,0.0
10mmol_30C,0.000677966,752.8593337,0.499499435,0.041055333,0.097580385,0.013787378027721047,1.0,0.8515,success,0.0405745900185559,0.0405745900185559,0.0
15mmol_30C,0.000254348,908.3537413,0.277187067,0.019585846,0.103970942,0.01221504400114571,1.0,0.8190000000000001,success,0.019399085077559136,0.019399085077559136,0.0
2mmol_21C,0.000802395,998.4437317,0.499859416,0.015360333,0.102801178,0.01841328979660022,1.0,1.2155,success,0.015295381739385674,0.015295381739385674,0.0
15mmol_20C,0.00050276,999.4082097,0.299204276,0.035955842,0.101860464,0.012560253897022115,1.0,0.8190000000000001,success,0.03537011513339389,0.03537011513339389,0.0
2mmol_21C,0.00059944,999.5966291,0.400065471,0.0,0.097689174,0.01681655646455613,1.0,1.04,success,0.0498557003524986,0.0498557003524986,0.0
5mmol_30C,0.000712445,999.6446793,0.499913583,0.015761217,0.09488439,0.00555183752281918,1.0,0.33149999999999996,success,0.014673498768634066,0.014673498768634066,0.0
10mmol_21C,0.000377858,999.6735997,0.30006925,0.026277,0.108183192,0.014270370420078421,1.0,1.014,success,0.026159614606338907,0.026159614606338907,0.0
5mmol_30C,0.000568444,1000.032227,0.299961589,0.016771636,0.097314092,0.0035912266599052987,1.0,0.221,success,0.016102014595640604,0.016102014595640604,0.0
15mmol_30C,0.000659622,1000.129858,0.499652117,0.0393735,0.103755223,0.014582878991521513,1.0,0.975,success,0.0388826356890517,0.0388826356890517,0.0
5mmol_30C,0.000753615,1000.183129,0.500015227,0.015923438,0.095239508,0.005309452322261098,1.0,0.3185,success,0.015238218695870998,0.015238218695870998,0.0
10mmol_30C,0.000365507,1000.201091,0.300003567,0.029010143,0.114449734,0.01317448782330471,1.0,1.0270000000000001,success,0.028857718655417988,0.028857718655417988,0.0
15mmol_30C,0.000321902,1000.303949,0.50013415,0.029240462,0.11521322,0.016551805387976883,1.0,1.3,success,0.052296396061827635,0.052296396061827635,0.0
15mmol_20C,0.000446906,1000.564352,0.401184136,0.036132938,0.100553676,0.01804602916924392,1.0,1.157,success,0.03605962078126426,0.03605962078126426,0.0
15mmol_30C,0.000265392,1002.961609,0.300878529,0.02402287,0.109113491,0.013360146971251832,1.0,0.9620000000000001,success,0.023971965147170718,0.023971965147170718,0.0
10mmol_30C,0.000272406,1242.85638,0.298834436,0.029332111,0.11349644,0.016935429885876197,1.0,1.3,success,0.040346318920859575,0.040346318920859575,0.0
10mmol_30C,0.000566363,1249.038305,0.500093794,0.033174417,0.114298685,0.016909086131774272,1.0,1.3,success,0.08545358487159779,0.08545358487159779,0.0
10mmol_30C,0.000444553,1249.862193,0.299800426,0.028255059,0.108560812,0.015923316056742447,1.0,1.1375,success,0.027854876191352837,0.027854876191352837,0.0
10mmol_21C,0.00034782,1249.972052,0.299996185,0.0429831,0.109754391,0.017908734703907633,1.0,1.3,success,0.04799951587491376,0.04799951587491376,0.0
15mmol_20C,0.000308625,1250.009063,0.300016848,0.0303678,0.107568497,0.01845317271057583,1.0,1.3,success,0.033228403468411244,0.033228403468411244,0.0
15mmol_30C,0.000395808,1250.036404,0.29999587,0.023775,0.115489718,0.012963346972332526,1.0,1.0270000000000001,success,0.023732172637689605,0.023732172637689605,0.0
15mmol_30C,0.000485129,1250.056002,0.30007986,0.027580615,0.11381099,0.011873161670286948,1.0,0.9165000000000001,success,0.027287793171767313,0.027287793171767313,0.0
15mmol_30C,0.000474288,1250.088685,0.300012818,0.028364167,0.113081172,0.012090821529063876,1.0,0.9229999999999999,success,0.02806838162432955,0.02806838162432955,0.0
10mmol_30C,0.000346723,1250.943404,0.399996182,0.039580444,0.110695898,0.01785202765632687,1.0,1.3,success,0.0891056607811037,0.0891056607811037,0.0
10mmol_21C,0.000578276,1252.670832,0.499955561,0.046688438,0.095985963,0.02177868178308072,1.0,1.3,success,0.1042267251332382,0.1042267251332382,0.0
15mmol_20C,0.000464331,1255.424561,0.399894434,0.032895833,0.104759153,0.01919591565443001,1.0,1.3,success,0.04764616158380379,0.04764616158380379,0.0
10mmol_30C,0.000411395,1267.514069,0.499206614,0.02738975,0.125620729,0.013847216736137815,1.0,1.3,success,0.07343752256943037,0.07343752256943037,0.0
10mmol_30C,0.000313467,1271.393663,0.400560738,0.0334996,0.113122433,0.017203245187564133,1.0,1.3,success,0.08659461899852647,0.08659461899852647,0.0
5mmol_30C,0.000726548,1455.630583,0.496921484,0.016203833,0.091711664,0.008123664387293622,1.0,0.468,success,0.015847819251636905,0.015847819251636905,0.0
5mmol_30C,0.000816628,1492.737848,0.500258137,0.025555333,0.092475198,0.007280065158562058,1.0,0.4225,success,0.023970005267027056,0.023970005267027056,0.0
5mmol_30C,0.000859751,1494.673636,0.500000991,0.027710217,0.09193442,0.006985780165429825,1.0,0.403,success,0.026285271787888073,0.026285271787888073,0.0
2mmol_30C,0.000706178,1497.170512,0.499902324,0.019429286,0.091588153,0.009616352492200716,1.0,0.5525,success,0.01853474527781676,0.01853474527781676,0.0
2mmol_21C,0.000637372,1500.051467,0.299942499,0.026299,0.10857765,0.016739364484336012,1.0,1.1960000000000002,success,0.025818120570215736,0.025818120570215736,0.0
5mmol_30C,0.000526169,1500.087412,0.300071251,0.019176444,0.129153109,0.0038206702064893655,1.0,0.3835,success,0.01864198195194003,0.01864198195194003,0.0
2mmol_21C,0.000741807,1500.215265,0.399939766,0.045705333,0.097766817,0.021030693464768355,1.0,1.3,success,0.05513767708405391,0.05513767708405391,0.0
2mmol_21C,0.000912927,1500.5413,0.500445132,0.022795667,0.103834646,0.01932185486360585,1.0,1.3,success,0.05638665283732207,0.05638665283732207,0.0
2mmol_21C,0.000943609,1500.993866,0.499986655,0.023137,0.103615651,0.019365438592075502,1.0,1.3,success,0.05168749473622494,0.05168749473622494,0.0
5mmol_30C,0.000614664,1502.497268,0.40017337,0.016598,0.094777095,0.007192535978344386,1.0,0.429,success,0.01578672055867221,0.01578672055867221,0.0
5mmol_30C,0.000661629,1504.546408,0.400747698,0.019850667,0.094852504,0.00675182389203259,1.0,0.403,success,0.018587793152257087,0.018587793152257087,0.0
5mmol_30C,0.000723707,1752.592616,0.500020691,0.024327778,0.090262733,0.009414547403869142,1.0,0.533,success,0.02362764595057039,0.02362764595057039,0.0
2mmol_21C,0.000801282,1995.993525,0.499700035,0.029573833,0.101849986,0.02004411339122816,1.0,1.3,success,0.09755287697153213,0.09755287697153213,0.0
5mmol_30C,0.000681172,1999.619482,0.499988817,0.023282933,0.088787929,0.011441600584436492,1.0,0.637,success,0.022088323111059502,0.022088323111059502,0.0
